tests-index.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
ai-twitterAgent.real.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: 1.95s
ai-twitterAgent.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: 2.10s
api-config.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
api-events.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
api-hooks.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
api-key-timeout-tracker.test.js               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
api-math.test.js                              | Files: 1 passed        | Tests: 1 passed        | Time: ??s
apiHandler.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
async-queue.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: 1.71s
automator.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
banner.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
BaseHandler.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: 1.19s
browserPatch.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
circuit-breaker.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
cloud-client.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: 1.39s
config-cache.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
config-loader.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
config-service.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
configService.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
content-depth.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
content-skimmer.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
core-config.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
core-errors.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
coverage_valid_task.test.js                   | Files: 1 passed        | Tests: 1 passed        | Time: ??s
dashboard-edge-cases.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: 1.70s
dashboard.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: 1.66s
discovery.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
dockerLLM.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
engagement-limits.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
EngagementHandler.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
entropyController.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
environment-config.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
envLoader.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
errors.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
free-api-router.test.js                       | Files: 1 passed        | Tests: 1 failed        | Time: 2.32s
free-openrouter-helper.test.js                | Files: 1 passed        | Tests: 1 passed        | Time: 2.29s
generateDebugProfile.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
generateProfiles.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: ??s
ghostCursor.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
history-compactor.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
human-interaction.test.js                     | Files: 1 passed        | Tests: 2 failed        | Time: 1.24s
humanization-action.test.js                   | Files: 1 passed        | Tests: 1 passed        | Time: ??s
humanization-content.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
humanization-error.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
humanization-multitask.test.js                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
humanization-scroll.test.js                   | Files: 1 passed        | Tests: 1 passed        | Time: ??s
humanization-session.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
humanization-timing.test.js                   | Files: 1 passed        | Tests: 1 passed        | Time: ??s
humanization-utils.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: 1.44s
humanizer-engine.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: 1.18s
humanTiming.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
idle-ghosting.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
image-storage.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
intent-classifier.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
ixbrowser.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
local-client.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: 1.05s
local-ollama-manager.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: 2.99s
localBrave.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
log-capture.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
logger.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: 1.56s
logging-config.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: 1.13s
mathUtils.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
metrics.test.js                               | Files: 1 passed        | Tests: 0 failed        | Time: 1.10s
micro-interactions.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: 1.26s
mistake-engine.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: 1.13s
model-perf-tracker.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
motor-control.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: 1.94s
multi-api.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: 1.16s
mutual-exclusion.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: 5.64s
navigation-diversity.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
new-engagement.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: 1.22s
ollama-client.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: 2.39s
orchestrator-coverage.test.js                 | Files: 1 passed        | Tests: 1 passed        | Time: 1.68s
orchestrator-v2-integration.test.js           | Files: 1 passed        | Tests: 1 passed        | Time: 1.35s
orchestrator-v2.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
orchestrator.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: 2.52s
popup-closer.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
profile-manager.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
proxy-agent.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
random-scrolling.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: 1.03s
rate-limit-tracker.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
request-dedupe.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
request-queue.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
retry.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: 1.08s
roi-detector.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
roxybrowser.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
scroll-helper.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
sensors.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: 2.64s
sentiment-analyzers.test.js                   | Files: 1 passed        | Tests: 1 passed        | Time: ??s
sentiment-data.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
sentiment-guard.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
sentiment-service.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
session-phases.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
sessionManager.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: 1.32s
sessionPhases.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
smoke.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
standalone.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
task-config-loader.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
tasks-cookieBotRandom.test.js                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
tasks-module-exports.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
tasks-twitter-follow.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: 1.35s
test-utils.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
twitter-activity-abort-signal.test.js         | Files: 1 passed        | Tests: 1 passed        | Time: 1.47s
twitter-activity-error-handling.test.js       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
twitter-activity-error-propagation.test.js    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
twitter-intent.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
twitter-reply-prompt.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
twitterAgent.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: 1.19s
unit-index.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
urlReferrer.extra.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
urlReferrer.init.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: ??s
urlReferrer.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: 1.00s
utils-config-service.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-config-validator.test.js                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-metrics.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-retry.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: 2.64s
utils-validator.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
validator.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
vision-interpreter.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
visual-debug.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: 3.55s
vllm-client.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
ai-twitter-follow.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
follow.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
retweet-coverage.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: ??s
actionEngine-behavior.test.js                 | Files: 1 passed        | Tests: 1 passed        | Time: 1.23s
actionEngine.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
actionRollback.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
adaptiveTiming.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
ai-reply-engine.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: 2.93s
confidenceScorer-behavior.test.js             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
confidenceScorer.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: ??s
contextCompressor.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
errorPatternLearner.test.js                   | Files: 1 passed        | Tests: 1 passed        | Time: ??s
errorRecoveryPrompt.test.js                   | Files: 1 passed        | Tests: 1 passed        | Time: ??s
executor.test.js                              | Files: 1 passed        | Tests: 1 passed        | Time: ??s
finder.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
gameRunner.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: 1.20s
goalDecomposer.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
historyManager.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
index.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
llmClient-failure.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: 1.22s
llmClient.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: 2.71s
memoryInjector.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
observer.test.js                              | Files: 1 passed        | Tests: 1 passed        | Time: ??s
parallelExecutor.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: ??s
progressTracker.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
promptAdapter.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
responseCache.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: 1.13s
responseValidator.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
retryStrategy.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
selfHealingPrompt.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
semanticMapper.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
sessionStore.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
visualDiff.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
execution.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
actions.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: 2.79s
agent.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
attention.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
banners.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
bookmark.test.js                              | Files: 1 passed        | Tests: 1 passed        | Time: ??s
context-state.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
context.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
cursor.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
events.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
follow.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
hooks.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
idle.test.js                                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
init.test.js                                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
like.test.js                                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
middleware.test.js                            | Files: 1 passed        | Tests: 1 failed        | Time: 2.68s
navigation.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
patch.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
persona.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
plugins-base.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
plugins-enhanced.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: ??s
plugins-index.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
plugins.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
queries.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
quote.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
recover_behavior.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: ??s
recover.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
reply.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
retweet.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
screenshot.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
scroll.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: 8.63s
sensors.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
timing.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-browserPatch.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-config.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-file-consumeline.test.js                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-file-readline.test.js                   | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-fingerprint.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-free-openrouter-helper.test.js          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-ghostCursor.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-locator.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-math.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-memory-profiler.test.js                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-patch.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-popup-closer.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-roi-detector.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-sensors.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
utils-timing.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
wait.test.js                                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
warmup.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
actionEngine.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
ai-reply-engine.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
llmClient.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
runner.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
tokenCounter.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
vision.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
humanization-error.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
persona.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
click-profiles.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
baseDiscover.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
ixbrowser.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
local-browsers.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
morelogin.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
roxybrowser.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
undetectable.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
twitter-timeouts.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: ??s
errors.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
health-monitor.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
clickAt.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
cursor.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
drag.test.js                                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
game-units.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
gameMenus.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
gameState.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: 1.97s
interactions.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: 1.23s
keys.test.js                                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
multiSelect.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
navigation.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: ??s
queries.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
resourceTracker.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: 2.49s
scroll.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: 5.53s
wait.test.js                                  | Files: 1 passed        | Tests: 1 passed        | Time: ??s
click-profiles.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
ai-twitterAgent-coverage.test.js              | Files: 1 passed        | Tests: 1 passed        | Time: 3.51s
ai-twitterAgent-real.test.js                  | Files: 1 passed        | Tests: 1 passed        | Time: 3.37s
BaseHandler-simple.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: 2.54s
intent-follow.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
intent-like.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
intent-post.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
navigation.test.js                            | Files: 1 passed        | Tests: 1 passed        | Time: 1.79s
twitterAgent.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: 1.05s
BaseHandler.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
errors.test.js                                | Files: 1 passed        | Tests: 1 passed        | Time: ??s
patch.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
retry.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
sensors.test.js                               | Files: 1 passed        | Tests: 1 passed        | Time: ??s
task-parser.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
validator.test.js                             | Files: 1 passed        | Tests: 1 passed        | Time: ??s
vision-preprocessor.test.js                   | Files: 1 passed        | Tests: 1 passed        | Time: ??s
visual-debug.test.js                          | Files: 1 passed        | Tests: 1 passed        | Time: ??s
EngagementHandler.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
index.test.js                                 | Files: 1 passed        | Tests: 1 passed        | Time: ??s
InteractionHandler.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
NavigationHandler.test.js                     | Files: 1 passed        | Tests: 1 passed        | Time: ??s
SessionHandler.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: ??s
test-helpers-simple.test.js                   | Files: 1 passed        | Tests: 1 passed        | Time: ??s
index.test.js                                 | Files: FAIL            | Tests: Parse Error     | Time: ??s
api.test.js                                   | Files: 1 passed        | Tests: 1 passed        | Time: 1.38s
history-manager.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
security.test.js                              | Files: 1 passed        | Tests: 1 passed        | Time: ??s
tests-index.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: ??s
timestamp-format.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: ??s
async-patterns.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: 1.50s
browser-automation.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: 1.58s
configuration.test.js                         | Files: 1 passed        | Tests: 1 passed        | Time: ??s
data-processing.test.js                       | Files: 1 passed        | Tests: 1 passed        | Time: ??s
concurrency.test.js                           | Files: 1 passed        | Tests: 1 passed        | Time: 3.18s
data-serialization.test.js                    | Files: 1 passed        | Tests: 1 passed        | Time: ??s
edge-cases-index.test.js                      | Files: 1 passed        | Tests: 1 passed        | Time: ??s
error-handling.test.js                        | Files: 1 passed        | Tests: 1 passed        | Time: 1.04s
